ses,block,quantity,estimator,estimate_pp,se_pp,p,bw_days,se_inflation
nbi,continuous,dtau_M(p10->p90),HC1,-7.667525450312943,1.5495223705705161,7.485852875355192e-07,47.43233683096086,
nbi,continuous,dtau_F(p10->p90),HC1,-10.51268693362846,1.5295032819022532,6.27475849057646e-12,47.43233683096086,
nbi,continuous,dgap_MF(p10->p90),HC1,2.8451614833155183,2.1772459360963747,0.19129055412763663,47.43233683096086,
nbi,continuous,dtau_M(p10->p90),cluster,-7.667525450312943,1.5997962014757463,1.644581776316656e-06,47.43233683096086,1.032444727394752
nbi,continuous,dtau_F(p10->p90),cluster,-10.51268693362846,1.5250629709113128,5.452083229329219e-12,47.43233683096086,0.9970968934532668
nbi,continuous,dgap_MF(p10->p90),cluster,2.8451614833155183,2.110591548234241,0.17764557055467023,47.43233683096086,0.9693859169710337
nbi,decile_slope,tau_M_slope,unclustered,-1.2751608321563956,0.1681612020207177,6.406496136301953e-05,,
nbi,decile_slope,tau_F_slope,unclustered,-1.6423041079235687,0.21092198198845993,5.303662896305461e-05,,
nbi,decile_slope,gap_MF_slope,unclustered,0.37643497983341,0.23477896020618738,0.14752300411051555,,
nbi,decile_slope,tau_M_slope,cluster,-1.2639023902171718,0.1681985159724436,6.834324983229223e-05,,1.0002218939403233
nbi,decile_slope,tau_F_slope,cluster,-1.625774270738266,0.23440720392742626,0.00012013323022030953,,1.111345539794194
nbi,decile_slope,gap_MF_slope,cluster,0.40035137540127524,0.2508724690210459,0.14919195277875064,,1.068547491652254
pca_index,continuous,dtau_M(p10->p90),HC1,-10.861637312260624,1.7491996186576086,5.31568788986192e-10,47.43233683096086,
pca_index,continuous,dtau_F(p10->p90),HC1,-14.724143669533612,1.7510425137737862,0.0,47.43233683096086,
pca_index,continuous,dgap_MF(p10->p90),HC1,3.862506357272988,2.4750452906876803,0.118622863788169,47.43233683096086,
pca_index,continuous,dtau_M(p10->p90),cluster,-10.861637312260624,1.7388551819562288,4.1993986066302114e-10,47.43233683096086,1.032444727394752
pca_index,continuous,dtau_F(p10->p90),cluster,-14.724143669533612,1.7316371603618204,0.0,47.43233683096086,0.9970968934532668
pca_index,continuous,dgap_MF(p10->p90),cluster,3.862506357272988,2.3844126475221032,0.10525409239095196,47.43233683096086,0.9693859169710337
pca_index,decile_slope,tau_M_slope,unclustered,-1.68966709982343,0.36395018384317734,0.001660631338109786,,
pca_index,decile_slope,tau_F_slope,unclustered,-2.070054338926193,0.31408647430200864,0.00017103482043290263,,
pca_index,decile_slope,gap_MF_slope,unclustered,0.5053083133679627,0.31364116326815594,0.14582275834826253,,
pca_index,decile_slope,tau_M_slope,cluster,-1.5852516135157948,0.37765311732741286,0.003006195388398858,,1.0002218939403233
pca_index,decile_slope,tau_F_slope,cluster,-1.911934477730427,0.30656048263535696,0.0002492712813408904,,1.111345539794194
pca_index,decile_slope,gap_MF_slope,cluster,0.48425848498237284,0.30107769497693865,0.14641049784549875,,1.068547491652254
