province_id,province,threshold,coef,se,p_value,robust_ci_low,robust_ci_high,bw,n_eff_left,n_eff_right
1,CABA,18,0.2589,0.0114,0.0,0.232,0.2855,176.7,15099,14767
1,CABA,70,-0.0344,0.0092,0.000187,-0.0518,-0.0105,246.1,20905,20399
2,Buenos Aires,18,0.1881,0.0067,0.0,0.1709,0.199,78.2,49714,50046
2,Buenos Aires,70,-0.0482,0.004,0.0,-0.0559,-0.0379,329.3,112764,110460
3,Catamarca,18,0.1537,0.0238,0.0,0.0925,0.2027,214.4,3672,3550
3,Catamarca,70,-0.064,0.0243,0.00841,-0.126,-0.0129,425.1,3435,3384
4,Córdoba,18,0.19,0.0151,0.0,0.1512,0.2143,69.6,9182,9511
4,Córdoba,70,-0.0236,0.0097,0.014931,-0.0424,0.0016,256.9,21062,20851
5,Corrientes,18,0.1363,0.0164,0.0,0.0977,0.1752,210.0,9360,9087
5,Corrientes,70,-0.0048,0.0198,0.810581,-0.0406,0.0473,253.8,5936,5896
6,Chaco,18,0.1058,0.014,0.0,0.0766,0.1422,271.8,12868,12951
6,Chaco,70,-0.0346,0.0204,0.089208,-0.0865,0.0092,255.7,5879,5753
7,Chubut,18,0.3966,0.02,0.0,0.349,0.4429,203.0,4677,4708
7,Chubut,70,-0.1169,0.0223,0.0,-0.1713,-0.0662,335.1,3982,3691
8,Entre Ríos,18,0.2347,0.0159,0.0,0.1931,0.2635,159.1,8054,7925
8,Entre Ríos,70,-0.0836,0.0154,0.0,-0.1214,-0.0488,277.4,8298,8422
9,Formosa,18,0.1125,0.0201,0.0,0.07,0.1639,216.0,5707,5523
9,Formosa,70,-0.0422,0.0254,0.09726,-0.0969,0.0229,318.7,3775,3484
10,Jujuy,18,0.226,0.0158,0.0,0.1866,0.2604,274.5,8297,8638
10,Jujuy,70,0.0182,0.0209,0.384555,-0.0215,0.0727,292.4,3854,3793
11,La Pampa,18,0.3575,0.0284,0.0,0.3014,0.4314,194.7,2658,2480
11,La Pampa,70,-0.0667,0.028,0.017304,-0.1358,-0.0043,282.8,2286,2322
12,La Rioja,18,0.0977,0.0326,0.002728,0.0123,0.1572,132.2,1992,1814
12,La Rioja,70,-0.0866,0.0324,0.007459,-0.1698,-0.0215,271.4,1822,1898
13,Mendoza,18,0.3628,0.0155,0.0,0.3224,0.391,109.5,8208,7982
13,Mendoza,70,-0.0997,0.0126,0.0,-0.1305,-0.0711,308.6,12157,12161
14,Misiones,18,0.2155,0.0146,0.0,0.1799,0.2486,207.6,11382,11243
14,Misiones,70,-0.0272,0.0154,0.077776,-0.0615,0.011,428.5,9861,9165
15,Neuquén,18,0.4174,0.0217,0.0,0.3603,0.4572,130.7,3727,3651
15,Neuquén,70,-0.0571,0.0188,0.002355,-0.0997,-0.0111,394.8,5050,4671
16,Río Negro,18,0.2617,0.0254,0.0,0.1956,0.3053,109.9,3126,3160
16,Río Negro,70,-0.034,0.0213,0.109678,-0.0772,0.0209,294.8,4093,4013
17,Salta,18,0.1796,0.0177,0.0,0.1335,0.211,122.1,6932,6733
17,Salta,70,-0.0292,0.018,0.104043,-0.0633,0.0176,257.4,6300,6163
18,San Juan,18,0.175,0.0224,0.0,0.1166,0.2177,130.5,4428,4162
18,San Juan,70,-0.0197,0.0179,0.268642,-0.0544,0.027,387.0,5959,5790
19,San Luis,18,0.2659,0.0223,0.0,0.2092,0.3123,204.0,4400,4310
19,San Luis,70,-0.0681,0.0212,0.001349,-0.1153,-0.016,449.8,4773,4540
20,Santa Cruz,18,0.3343,0.0258,0.0,0.2773,0.3979,230.5,3172,3267
20,Santa Cruz,70,-0.1288,0.0339,0.000145,-0.2172,-0.0641,353.0,1903,1733
21,Santa Fe,18,0.2134,0.0104,0.0,0.1879,0.2369,179.8,21925,20735
21,Santa Fe,70,-0.0501,0.01,1e-06,-0.0682,-0.024,276.6,21341,21234
22,Stgo. del Estero,18,0.0893,0.0147,0.0,0.0521,0.1202,209.5,8243,7878
22,Stgo. del Estero,70,0.0079,0.0183,0.664392,-0.0336,0.0527,332.2,6322,6016
23,Tucumán,18,0.1168,0.0118,0.0,0.087,0.142,172.4,11184,10754
23,Tucumán,70,-0.0278,0.013,0.032618,-0.0614,-0.0015,267.5,9147,9345
24,Tierra del Fuego,18,0.4713,0.0358,0.0,0.4052,0.5652,171.3,1284,1313
24,Tierra del Fuego,70,0.0395,0.0479,0.409379,-0.0544,0.1639,304.8,932,854
