threshold,subgroup,coef,se,t_stat,p_value,ci_low,ci_high,robust_ci_low,robust_ci_high,bw,n_eff_left,n_eff_right
18,Total,0.1825,0.0061,29.997,0.0,0.1706,0.1944,0.1676,0.1923,47.5,76216,78565
70,Total,-0.0368,0.0043,-8.635,0.0,-0.0451,-0.0284,-0.0439,-0.0261,141.9,130853,131210
18,Female,0.1857,0.0076,24.558,0.0,0.1709,0.2006,0.167,0.1978,56.4,45108,45692
18,Male,0.1995,0.007,28.432,0.0,0.1857,0.2132,0.182,0.2108,65.1,54513,55625
70,Female,-0.047,0.0053,-8.901,0.0,-0.0573,-0.0366,-0.056,-0.0336,167.2,81865,82441
70,Male,-0.0314,0.0047,-6.658,0.0,-0.0406,-0.0222,-0.0398,-0.0194,225.3,96527,95256
18,Low NBI,0.2306,0.0079,29.093,0.0,0.2151,0.2462,0.2103,0.2429,58.5,42430,43184
18,High NBI,0.1632,0.0074,22.125,0.0,0.1487,0.1776,0.1445,0.1746,70.7,63792,64642
70,Low NBI,-0.0393,0.0051,-7.682,0.0,-0.0493,-0.0293,-0.0477,-0.0263,154.2,81057,80436
70,High NBI,-0.038,0.0056,-6.826,0.0,-0.049,-0.0271,-0.0484,-0.024,236.9,93633,93865
18,Low PCA,0.244,0.0078,31.253,0.0,0.2287,0.2593,0.224,0.2562,61.8,43524,44901
18,High PCA,0.1528,0.0073,20.899,0.0,0.1385,0.1671,0.1342,0.1641,67.6,61160,61955
70,Low PCA,-0.0419,0.005,-8.378,0.0,-0.0517,-0.0321,-0.0503,-0.0291,161.6,84617,83862
70,High PCA,-0.0359,0.0056,-6.392,0.0,-0.0469,-0.0249,-0.046,-0.0217,225.7,89314,89683
18,Female x Low NBI,0.2484,0.0087,28.422,0.0,0.2313,0.2656,0.2259,0.2629,87.4,30342,30653
18,Female x High NBI,0.1507,0.0094,15.998,0.0,0.1323,0.1692,0.1266,0.1656,73.6,32739,32969
18,Male x Low NBI,0.2344,0.0097,24.175,0.0,0.2154,0.2534,0.2094,0.2502,72.3,26455,26841
18,Male x High NBI,0.1867,0.0073,25.544,0.0,0.1724,0.2011,0.1684,0.1997,137.5,66351,64172
70,Female x Low NBI,-0.0447,0.0068,-6.588,0.0,-0.058,-0.0314,-0.056,-0.0272,159.2,45393,45261
70,Female x High NBI,-0.0502,0.0065,-7.688,0.0,-0.063,-0.0374,-0.0645,-0.0348,306.5,63428,62738
70,Male x Low NBI,-0.043,0.0048,-8.994,0.0,-0.0524,-0.0337,-0.053,-0.0311,363.1,87449,83924
70,Male x High NBI,-0.0257,0.0072,-3.57,0.000357,-0.0399,-0.0116,-0.0391,-0.0071,246.8,47649,47034
18,Female x Low PCA,0.2535,0.0089,28.405,0.0,0.236,0.271,0.2305,0.2681,85.5,29800,29832
18,Female x High PCA,0.1452,0.0092,15.739,0.0,0.1271,0.1633,0.1216,0.1598,76.3,34410,34247
18,Male x Low PCA,0.2515,0.0092,27.293,0.0,0.2334,0.2695,0.2277,0.2666,79.3,28985,29250
18,Male x High PCA,0.1742,0.0076,22.911,0.0,0.1593,0.1891,0.1548,0.187,115.5,54456,53830
70,Female x Low PCA,-0.0515,0.0062,-8.295,0.0,-0.0636,-0.0393,-0.0622,-0.0355,189.4,53984,53890
70,Female x High PCA,-0.0459,0.0072,-6.39,0.0,-0.06,-0.0318,-0.0593,-0.0276,241.6,48871,49226
70,Male x Low PCA,-0.0352,0.0058,-6.11,0.0,-0.0465,-0.0239,-0.0455,-0.0203,238.2,55733,54510
70,Male x High PCA,-0.0302,0.0066,-4.599,4e-06,-0.0431,-0.0173,-0.0437,-0.0138,307.4,61154,58902
